,asr_transcript,uniqueId
0,Lights on in the bathroom ,4BrX8aDqK2cLZRYl-00143870453111e9b1e4e5985dca719e
1,Increase the volume ,4BrX8aDqK2cLZRYl-00224990452e11e9b1e4e5985dca719e
2,Set my phones language to english ,4BrX8aDqK2cLZRYl-00762400453011e9b1e4e5985dca719e
3,Turn the kitchen temperature down ,4BrX8aDqK2cLZRYl-008b2810452f11e9b1e4e5985dca719e
4,Turn the heat up in the washroom ,4BrX8aDqK2cLZRYl-018d0050453211e9b1e4e5985dca719e
5,Make the music louder ,4BrX8aDqK2cLZRYl-01f180c0452d11e9b1e4e5985dca719e
6,Bathroom lights on ,4BrX8aDqK2cLZRYl-02ea62e0453111e9b1e4e5985dca719e
7,Increase the sound volume ,4BrX8aDqK2cLZRYl-038e7270452e11e9b1e4e5985dca719e
8,Turned down the heat in the kitchen ,4BrX8aDqK2cLZRYl-03aa6970452f11e9b1e4e5985dca719e
9,Washroom heat up ,4BrX8aDqK2cLZRYl-045f0c10453211e9b1e4e5985dca719e
10,Turn down the volume ,4BrX8aDqK2cLZRYl-0547b0a0452d11e9b1e4e5985dca719e
11,Switch lights off ,4BrX8aDqK2cLZRYl-060b7900453111e9b1e4e5985dca719e
12,I need volume ,4BrX8aDqK2cLZRYl-06b072f0452e11e9b1e4e5985dca719e
13,Turn the he'd down in the kitchen ,4BrX8aDqK2cLZRYl-06d4f570452f11e9b1e4e5985dca719e
14,Only the practice my chinese switch the language ,4BrX8aDqK2cLZRYl-07125720453011e9b1e4e5985dca719e
15,During the volume down ,4BrX8aDqK2cLZRYl-08f2b740452d11e9b1e4e5985dca719e
16,Turn off the kitchen lights ,4BrX8aDqK2cLZRYl-090c8400453111e9b1e4e5985dca719e
17,Kitchen heat down ,4BrX8aDqK2cLZRYl-094de4b0452f11e9b1e4e5985dca719e
18,Increase the sound ,4BrX8aDqK2cLZRYl-09d95140452e11e9b1e4e5985dca719e
19,Anita practice my german switch the language ,4BrX8aDqK2cLZRYl-0b952020453011e9b1e4e5985dca719e
20,Turn the lights off in the kitchen ,4BrX8aDqK2cLZRYl-0c382170453111e9b1e4e5985dca719e
21,Louder phone ,4BrX8aDqK2cLZRYl-0cbd3750452e11e9b1e4e5985dca719e
22,Make the music softer ,4BrX8aDqK2cLZRYl-0cd45e40452d11e9b1e4e5985dca719e
23,Decrease the temperature in the kitchen ,4BrX8aDqK2cLZRYl-0cfac010452f11e9b1e4e5985dca719e
24,I can hear thou ,4BrX8aDqK2cLZRYl-0fa22ed0452e11e9b1e4e5985dca719e
25,Switch off the lights in the kitchen ,4BrX8aDqK2cLZRYl-0fa2c3b0453111e9b1e4e5985dca719e
26,I need a practice my korean switch the language ,4BrX8aDqK2cLZRYl-10264100453011e9b1e4e5985dca719e
27,Turn up the temperature ,4BrX8aDqK2cLZRYl-10833570452d11e9b1e4e5985dca719e
28,Decrease the heating in the kitchen ,4BrX8aDqK2cLZRYl-108baf00452f11e9b1e4e5985dca719e
29,To quiet ,4BrX8aDqK2cLZRYl-1297ef30452e11e9b1e4e5985dca719e
30,Such the lights off in the kitchen ,4BrX8aDqK2cLZRYl-12e48130453111e9b1e4e5985dca719e
31,Turned down the temperature in the bedroom ,4BrX8aDqK2cLZRYl-13925f50452f11e9b1e4e5985dca719e
