,asr_transcript,uniqueId
0,In gran'ther he'd being in their barbran ,2BqVo8kVB2Skwgyb-029f6450447a11e9a9a55dbec3b8816a
1,It's than life all eh ,2BqVo8kVB2Skwgyb-03592c80447c11e9a9a55dbec3b8816a
2,Dawn that bedroom life often ,2BqVo8kVB2Skwgyb-063aa8f0447911e9a9a55dbec3b8816a
3,Length heath ,2BqVo8kVB2Skwgyb-07858300447a11e9a9a55dbec3b8816a
4,Then they he'd up in the logs shortly ,2BqVo8kVB2Skwgyb-0887f780447d11e9a9a55dbec3b8816a
5,He'd done ,2BqVo8kVB2Skwgyb-09bd4a90447a11e9a9a55dbec3b8816a
6,Gone their lives the altering the kitchen ,2BqVo8kVB2Skwgyb-09eef700447c11e9a9a55dbec3b8816a
7,Change languish ,2BqVo8kVB2Skwgyb-0a3129c0447411e9a9a55dbec3b8816a
8,Washroom heat up ,2BqVo8kVB2Skwgyb-0b8001d0447d11e9a9a55dbec3b8816a
9,But it's their bedroom life alban ,2BqVo8kVB2Skwgyb-0cd666e0447911e9a9a55dbec3b8816a
10,Which of the lights in the guillotine ,2BqVo8kVB2Skwgyb-0d7a1990447c11e9a9a55dbec3b8816a
11,Assume ,2BqVo8kVB2Skwgyb-0ee42a80447411e9a9a55dbec3b8816a
12,In greensburg them pretty during the long at rome ,2BqVo8kVB2Skwgyb-0fcdd820447d11e9a9a55dbec3b8816a
13,That my informant language to england ,2BqVo8kVB2Skwgyb-0fd56420447b11e9a9a55dbec3b8816a
14,Courtier will be glee the he'd been ,2BqVo8kVB2Skwgyb-120de470447a11e9a9a55dbec3b8816a
15,Bedroom life all ,2BqVo8kVB2Skwgyb-1288d640447911e9a9a55dbec3b8816a
16,Increase their she dinging though i'll show em ,2BqVo8kVB2Skwgyb-138dc650447d11e9a9a55dbec3b8816a
17,Don the lights on ,2BqVo8kVB2Skwgyb-144d5be0447411e9a9a55dbec3b8816a
18,You can light all that ,2BqVo8kVB2Skwgyb-16fb4430447c11e9a9a55dbec3b8816a
19,On the lay this ,2BqVo8kVB2Skwgyb-1811b6e0447411e9a9a55dbec3b8816a
20,If on the lawn grimly ,2BqVo8kVB2Skwgyb-183f6450447911e9a9a55dbec3b8816a
21,I mean to rank booth mind you had a man with the langley ,2BqVo8kVB2Skwgyb-1a7b38a0447b11e9a9a55dbec3b8816a
22,Light all in though long withdrew ,2BqVo8kVB2Skwgyb-1b40e480447911e9a9a55dbec3b8816a
23,Gone the bedroom light all ,2BqVo8kVB2Skwgyb-1d95c9a0447c11e9a9a55dbec3b8816a
24,This off the lights ,2BqVo8kVB2Skwgyb-1d9f3920447411e9a9a55dbec3b8816a
25,Burn that you'd think them faith of bone ,2BqVo8kVB2Skwgyb-1da8c750447a11e9a9a55dbec3b8816a
26,Don't ob de sheet in the bottom ,2BqVo8kVB2Skwgyb-1df420d0447d11e9a9a55dbec3b8816a
27,Long threw light on ,2BqVo8kVB2Skwgyb-1dfa1110447911e9a9a55dbec3b8816a
28,Don the she'd up in the bud throne ,2BqVo8kVB2Skwgyb-211b0350447d11e9a9a55dbec3b8816a
29,Jane system language ,2BqVo8kVB2Skwgyb-230c5690447e11e9a9a55dbec3b8816a
30,Burned or he'd door in the if you can ,2BqVo8kVB2Skwgyb-2485d400447a11e9a9a55dbec3b8816a
31,Then it up ,2BqVo8kVB2Skwgyb-256b2060447911e9a9a55dbec3b8816a
32,Volume a bank ,2BqVo8kVB2Skwgyb-269fc210447411e9a9a55dbec3b8816a
33,You've plenty he'd done ,2BqVo8kVB2Skwgyb-27565920447a11e9a9a55dbec3b8816a
34,In pleased that umbrae chain the bathroom ,2BqVo8kVB2Skwgyb-27a05310447d11e9a9a55dbec3b8816a
35,Vaguely that them breathing that you can ,2BqVo8kVB2Skwgyb-2ac01100447a11e9a9a55dbec3b8816a
36,In greaser she dinging the bud throne ,2BqVo8kVB2Skwgyb-2b0b1c60447d11e9a9a55dbec3b8816a
37,I need to blank bathed my english the langrye ,2BqVo8kVB2Skwgyb-2b43ca80447b11e9a9a55dbec3b8816a
38,Raw little man ,2BqVo8kVB2Skwgyb-2bf9e600447911e9a9a55dbec3b8816a
39,Open language sieve binks ,2BqVo8kVB2Skwgyb-2d728a00447e11e9a9a55dbec3b8816a
40,Manque eat gwalior ,2BqVo8kVB2Skwgyb-2d859240447d11e9a9a55dbec3b8816a
41,Louder plea ,2BqVo8kVB2Skwgyb-2e4b5010447911e9a9a55dbec3b8816a
42,Thunder washroom later on ,2BqVo8kVB2Skwgyb-2fb15dd0447b11e9a9a55dbec3b8816a
43,Said the language ,2BqVo8kVB2Skwgyb-3075def0447e11e9a9a55dbec3b8816a
44,In grieved the volume ,2BqVo8kVB2Skwgyb-30e3d540447911e9a9a55dbec3b8816a
45,The fish of the washroom lay ,2BqVo8kVB2Skwgyb-30e8fe00447c11e9a9a55dbec3b8816a
46,Less heat ,2BqVo8kVB2Skwgyb-32ff8c80447d11e9a9a55dbec3b8816a
47,In grieve the fallen derive yawn ,2BqVo8kVB2Skwgyb-33a69ec0447911e9a9a55dbec3b8816a
48,Like all in the warmth room ,2BqVo8kVB2Skwgyb-34afca00447c11e9a9a55dbec3b8816a
49,She downhill ,2BqVo8kVB2Skwgyb-34e73840447d11e9a9a55dbec3b8816a
50,I need volume ,2BqVo8kVB2Skwgyb-35fdd530447911e9a9a55dbec3b8816a
51,None of the light ,2BqVo8kVB2Skwgyb-3710b9e0447b11e9a9a55dbec3b8816a
52,Be agrees that embrasure ,2BqVo8kVB2Skwgyb-37a10110447d11e9a9a55dbec3b8816a
53,Thorn known the bedroom heap ,2BqVo8kVB2Skwgyb-3892bb70447a11e9a9a55dbec3b8816a
54,Fiend langley ,2BqVo8kVB2Skwgyb-39c24550447b11e9a9a55dbec3b8816a
55,Lowered and forlorn ,2BqVo8kVB2Skwgyb-3acc7440447911e9a9a55dbec3b8816a
56,Vaguely as their he'd ding ,2BqVo8kVB2Skwgyb-3ae074a0447d11e9a9a55dbec3b8816a
57,Bar the mill creek ,2BqVo8kVB2Skwgyb-3c26c230447b11e9a9a55dbec3b8816a
58,Then the bedroom we heed bone ,2BqVo8kVB2Skwgyb-3cc8eb10447a11e9a9a55dbec3b8816a
59,Set languish two gentlemen ,2BqVo8kVB2Skwgyb-3ef4f600447e11e9a9a55dbec3b8816a
60,Barn phoned up ,2BqVo8kVB2Skwgyb-3f7b00d0447c11e9a9a55dbec3b8816a
61,Bertram he'd done ,2BqVo8kVB2Skwgyb-3f830200447a11e9a9a55dbec3b8816a
62,Volume bone ,2BqVo8kVB2Skwgyb-405a80d0447b11e9a9a55dbec3b8816a
63,Barney up ,2BqVo8kVB2Skwgyb-42510430447c11e9a9a55dbec3b8816a
64,On the light on ,2BqVo8kVB2Skwgyb-43275c70447b11e9a9a55dbec3b8816a
65,Vaguely that them breathing that bedroom ,2BqVo8kVB2Skwgyb-4340a640447a11e9a9a55dbec3b8816a
66,Make it louder ,2BqVo8kVB2Skwgyb-452ab110447c11e9a9a55dbec3b8816a
67,Which on the lake ,2BqVo8kVB2Skwgyb-45c47580447b11e9a9a55dbec3b8816a
68,Said language to english ,2BqVo8kVB2Skwgyb-45e00c70447e11e9a9a55dbec3b8816a
69,Vaguely the heaping in the bird broom ,2BqVo8kVB2Skwgyb-46da20b0447a11e9a9a55dbec3b8816a
70,Lower level ,2BqVo8kVB2Skwgyb-472150f0447c11e9a9a55dbec3b8816a
